Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,cancelQuote,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,cancelQuotesByClass,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,cancelAllQuotes,,,x,,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,requestForQuote,x,x,x,x,,,x,x,x,x,x,,,,x,,,,,,,,,,,,,
,getRFQ,,,x,,,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,getQuoteActivity,,,,,,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,getQuoteForProduct,,,,,,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,systemCancelQuotesByClass,,,,,,,,,x,x,,,,,,,,,,,Method for CAS to cancel quotes after trade server failure,,,,,,,
,acceptQuotesForClassV3,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,cancelQuotesForUsers,,,,,,,,x (NR),x (NR),x (NR),,,,,x (NR),,,,,,,,,,,,,
,getQuoteCountForUsers,,,x,,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptManualQuote,,, ,,,,,,,,,,,,x,,,,x,,,,,,,,,
,cancelManualQuote,,, ,,,,,,,,,,,,x,,,,x,,,,,,,,,
,acceptQuoteV4,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
,acceptQuotesForClassV4,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,
OrderBookService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getBookDepthV2,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBookDepth,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBestBookForClass,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBookDepthByClass,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,,,,,
,getBookDepthDetails,,,,,,,,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,getBookDetails,,,,,,,,x,,x,,,x,,x,x,x,x,,,,,,,,,,
,getBook,,,,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,getOpeningRequirementCode,,,,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,setOpeningRequirementCode ,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,
NBBOAgentService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,registerNBBOAgent,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,unregisterNBBOAgent,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptCancelResponse,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptFillHeldOrder,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,rerouteHeldOrder,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,rerouteHeldOrdersByClass,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,rejectFill,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,publishHeldOrdersForClass,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,getHeldOrderById,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,rerouteBookedOrderToHeldOrder,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,unlockProduct,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,lockProduct,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,getDetailedOrderBook,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptOpeningPriceForProduct,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptSatisfactionOrderFill,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptSatisfactionOrderInCrowdFill,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptSatisfactionOrderReject,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,acceptCustomerOrderSatisfy,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,getOrderBookStatus,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
SysAdminIntermarketControlService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptAdminMessage,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,getAdminMessages,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,subscribeITSAdminByClass,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,unsubscribeITSAdminByClass,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,subscribeITSAdmin,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
,unsubscribeITSAdmin,,,x,x,,,,x,x,x,,,,,x,,,,,,,,,,,,,
OrderHandlingService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
