Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,getLinkageIndicators,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,updateLinkageIndicators,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,getProductsByKeyV4,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
ProductQueryService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getProductsByClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClasses,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassesByType,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getPendingAdjustmentNameByProduct,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getPendingAdjustmentNameByClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getPendingAdjustmentInfo,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getPendingAdjustments,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,isValidProductName,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,isValidReportingClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,isValidProductClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductsByKeyV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductsByKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductsByName,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductsForClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getReportingClassesByKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getReportingClassesBySymbol,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getReportingClassesByType,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesByKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassByKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesBySymbol,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesByType,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClasses,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getDerivativesForProduct,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductTypes,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductKeys,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductDescriptions,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesByDescription,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getStrategyByKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getStrategiesByClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getStrategiesByComponent,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesByKeyV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassByKeyV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesBySymbolV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesByTypeV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getDerivativesForProductV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductClassesByDescriptionV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,acceptStrategy,x,x,x,,x,,,x,,x,x,x,x,,x,x,,x,,,,,,,,,,
,buildStrategyRequestByName,x,x,x,,x,,,x,,x,x,x,x,,x,x,,x,,,,,,,,,,
,buildStrategyRequestByProductKey,x,x,x,,x,,,x,,x,x,x,x,,x,x,,x,,,,,,,,,,
,getSpreadNormalizationStrategyType,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
ProductStateService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,startSession,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setAllProductStates,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setListingStateByClass,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setListingStateByProduct,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setProductStateByClass,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setProductStateByProduct,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setProductStateByClassV2,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,publishProductStatesForClasses,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,publishProductStatesForSession,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,publishProductStatesForGroupForSession,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
ProductUpdateInterface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,updateProduct,,,,,,,,x (NR),x (NR),x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,updateProductV2,,,,,,,,x (NR),x (NR),x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,updateProductV4,,,,,,,,x (NR),x (NR),x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,updateProductClass,,,,,,,,x (NR),x (NR),x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,updateProducts,,,,,,,,x (NR),x (NR),x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,updateProductsV4,,,,,,,,x (NR),x (NR),x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,updateReportingClass,,,,,,,,x (NR),x (NR),x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
QuoteStatusService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
QuoteStatusSubscriptionService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeQuoteStatusForFirm,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,unsubscribeQuoteStatus,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,,,
,unsubscribeQuoteStatusForFirm,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,ackQuoteStatus,x,x,x,,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,,,,,,,,
,publishQuoteStatus,x,x,x,,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,,,,,,,,
,ackQuoteStatusV3,x,x,x,,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,,,,,,,,
,publishQuoteStatusByClass,x,x,x,,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,,,,,,,,
,subscribeQuoteStatusV2,x,x,x,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
,subscribeQuoteStatusForFirmV2,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,
,unsubscribeQuoteStatusV2,x,x,x,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
,unsubscribeQuoteStatusForFirmV2,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,
,subscribeQuoteStatusForTradingFirmUser,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,
,unsubscribeQuoteStatusForTradingFirmUser,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,
SecurityAdminService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getErrorMessage,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,addGroup,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,addRole,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,addService,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,getGroups,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getRoles,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getServices,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getACLSet,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getRoleSet,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getUsers,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,updateACLSet,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,updateRoleSet,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,addAccount,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,getMemberName,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,getAccount,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,updateAccount,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,deleteAccount,x (NR),x (NR),x (NR),,x (NR),x (NR),x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,shutdownSecurityServer,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,terminateUserSession,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
NBBOAgentAdminService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,findNBBOAgentForClass,,,,,,,,x (NR),x,x,,,x (NR),,x (NR),,,,,,,,,,,,,
,findAllNBBOAgents,,,,,,,,x (NR),x,x,,,x (NR),,x (NR),,,,,,,,,,,,,
,findNBBOAgentById,,,,,,,,x (NR),x,x,,,x (NR),,x (NR),,,,,,,,,,,,,
,getHeldOrdersForClass,,,,,,,,x (NR),x,x,,,x (NR),,x (NR),,,,,,,,,,,,,
IntermarketControlService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptPreOpeningIndication,,,x,x,,,,x,x,x,,,x (NR),,x,,,,,,,,,,,,,
,acceptPreOpeningResponse,,,x,x,,,,x,x,x,,,x (NR),,x,,,,,,,,,,,,,
,acceptAdminMessage,,,x,x,,,,x,x,x,,,x (NR),,x,,,,,,,,,,,,,
,getAdminMessages,,,x,x,,,,x,x,x,,,x (NR),,x,,,,,,,,,,,,,
SessionManagementService,,,,,,,,,,,,,,,,,,,,,,Do not need ACL's since this interface is hard-coded to NOT check security.,,,,,,,
SessionManagementAdminService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,x,x,x,,x,x,,x,,,,,,Do not need ACL's since this interface is hard-coded to NOT check security.,,,,,,,
SystemAdminSessionManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getCalendarAdminEventService,,,,,,,,x(NR),,x,,x,x,,x(NR),,,,,,,,,,,,,
,getProductStateService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getProductMaintenanceService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getProductConfigurationService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTradingPropertyService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getUserMaintenanceService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTradingSessionService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getFirmService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTextMessagingService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getUserTradingParameterService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTradeMaintenanceService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getMarketMakerQuoteService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getOrderHandlingService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getSysAdminIntermarketControlService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getOrderBookService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getSessionManagementAdminService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getSecurityAdminService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getFirmMaintenanceService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getPropertyEventService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getUserService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTradingSessionEventStateService,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,logout,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,authenticate,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTradingSession,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getMarketQuery,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getOrderQuery,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getProductDefinition,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getProductQuery,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getQuote,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getOrderEntry,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getUserPreferenceQuery,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getUserTradingParameters,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getAdministrator,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getUserHistory,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getValidUser,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getValidSessionProfileUser,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,changePassword,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getVersion,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getSystemDateTime,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
SystemAdminUserAccess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,
SystemAdminUserAccessV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logon,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,
TextMessagingService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sendMessage,x (NR),x (NR),x (NR),,x (NR),x,x (NR),x (NR),x,x,x (NR),x (NR),x (NR),x,x (NR),x (NR),x (NR),x (NR),x (NR),x (NR),,,,,,,,
,updateMessageState,,,,,,,,x,x,x,,x,x,,x,x,,x,,x,,,,,,,,
,acceptMessageDelivery,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,publishMessagesForUser,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,publishMessagesForProductClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,publishMessagesForProductType,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getMailboxForUser,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getTemplateText,,,,,,,,x,,x,,x,x,,x,x,,x,,x,,,,,,,,
,getAvailableTemplates,,,,,,,,x,,x,,x,x,,x,x,,x,,x,,,,,,,,
,createTemplate,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),x (NR),,x (NR),,x (NR),,,,,,,,
,updateTemplate,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),x (NR),,x (NR),,x (NR),,,,,,,,
,deleteTemplate,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),x (NR),,x (NR),,x (NR),,,,,,,,
TIPSProductService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeProductDefinitions,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
TPFProductService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeOptionClassDefinition,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
ExternalTradeMaintenanceService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptExternalTrade,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
,acceptExternalTradeBust,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
ManualReportingService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptManualQuote,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,
,acceptManualPriceReport,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
,cancelManualQuote,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,
,sendMessage,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,
,getProductClassVolume,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getRecapForProduct,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
LastSaleService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeLastSaleByClass,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
,unsubscribeLastSaleByClass,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
TradeMaintenanceService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acceptTradeV2,,,,,,,,x (NR),x,x,,,x,,x (NR),,,,,,,,,,,,,
,getTradeReportV2ByTradeId,,,,,,,,x,x,x,,,x,,x,x,x,x,,,,,,,,,,
,findTradeReportsV2Between,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,findUnsentTradeReportsV2Between,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportsV2,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSettlementDate,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportByTradeId,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,acceptTrade,,,,,,,,x (NR),x,x,,,,,x (NR),,,,,,,,,,,,,
,getTradeReports ,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportsByTime,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportsByTimeAndClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportsByTimeAndProduct,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportsByTimeAndExchange,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportsByTimeAndUser,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportsBySummary,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradeReportSummaryByTradeId,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,acceptMultipleTradeBust,,,,,,,,x (NR),x,x,,,,,x (NR),,,,,,,,,,,,,
,acceptTradeBust,,,,,,,,x (NR),x,x,,,,,x (NR),,,,,,,,,,,,,
,acceptTradeUpdate,,,,,,,,x (NR),x,x,,,,,x (NR),,,,,,,,,,,,,
,findTradeReportsBetween,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,findTradeBustHistoriesBetween,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,acceptExternalTrade,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
,acceptExternalTradeBust,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,
,acceptFloorTrade,,,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
,deleteFloorTrade,,,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
TradingPropertyService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getExchangePrescribedWidth,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getExchangePrescribedWidthForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getMinQuoteCreditDefaultSize,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getRFQResponseRatio,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getRFQTimeout,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getContinuousQuotePeriodForCredit,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getPrescribedWidthRatio,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getFastMarketSpreadMultiplier,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAllocationStrategy,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getContingencyTimeToLive,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getOpeningPeriodTimeRange,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getOpeningPriceDelay,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getOpeningPriceRate,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getPreClosingTimePeriod,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setPrescribedWidthRatio,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setFastMarketSpreadMultiplier,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setAllocationStrategy,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setContingencyTimeToLive,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setExchangePrescribedWidth,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setOpeningPeriodTimeRange,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setOpeningPriceDelay,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setOpeningPriceRate,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setPreClosingTimePeriod,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setRFQTimeout,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setMinQuoteCreditDefaultSize,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setRFQResponseRatio,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setContinuousQuotePeriodForCredit,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getDPMParticipationPercentage,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,setDPMParticipationPercentage,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getIPPMinSize,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setIPPMinSize,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getIPPTradeThroughFlag,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setIPPTradeThroughFlag,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getQuoteLockTimer,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setQuoteLockTimer,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getQuoteLockNotificationTimer,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setQuoteLockNotificationTimer,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getQuoteTriggerTimer,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setQuoteTriggerTimer,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getSatisfactionAlertFlag,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setSatisfactionAlertFlag,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getLinkageEnabledFlag,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setLinkageEnabledFlag,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getFPQS,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setFPQS,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
